Films;Note Globale
Laisse tes mains sur mes hanches;3.6
Laissons Lucie faire;3.4
Last Kiss;2.4
Last Life in the Universe;3.9
Last Night;3.6
Last Vegas;2.4
Le 51e Etat;2.6
Le Bal des actrices;4.0
Le Battement d'ailes du papillon;3.2
Le Birdwatcher;2.7
Le Bison (et sa voisine Dorine);3.1
Le Bon numéro;2.8
Le Bon, la brute et le cinglé;3.9
Le Boulet;3.2
Le Brio;3.5
Le Cactus;2.6
Le Carton;3.1
Le Casse de Central Park;2.8
Le Caïman;4.3
Le Celibataire;2.8
Le Challat de Tunis;3.9
Le Chasseur de primes;2.1
Le Chat Potté;3.0
Le Chat chapeauté;2.3
Le Chevalier black;2.1
Le Chien du jardinier;2.6
Le Chocolat;2.3
Le Coach;2.8
Le Coeur des hommes 3;1.8
Le Coeur en braille;2.5
Le Coeur à l'ouvrage;2.5
Le Come-back;3.0
Le Concours de danse;3.3
Le Costard;3.0
Le Couperet;4.3
Le Coût de la Vie;3.4
Le Crime est notre affaire;3.9
Le Crime farpait;3.8
Le Crocodile du Botswanga;3.4
Le Créateur;3.4
Le Cygne du destin;2.5
Le Dernier pub avant la fin du monde;3.2
Le Dernier week-end;2.0
Le Derrière;3.5
Le Diable s'habille en Prada;3.2
Le Diable à quatre;2.9
Le Dictateur;5.0
Le Dilemme;1.5
Le Direktør;3.6
Le Divorce;2.6
Le Défi;3.1
Le Déjeuner du 15 août;3.8
Le Démon de midi;2.5
Le Détonateur;3.0
Le Fabuleux destin d'Amélie Poulain;4.3
Le Fantôme De Canterville;2.8
Le Fataliste;2.8
Le Fils du Mask;2.1
Le Furet;2.9
Le Gourou et les femmes;2.5
Le Grand Galop;3.2
Le Grand Méchant Loup;3.5
Le Grand Partage;2.0
Le Grand appartement;3.2
Le Grand soir;3.7
Le Grimoire d'Arkandias;2.7
Le Grinch;3.0
Le Jour d'après;4.1
Le Journal de Bridget Jones;3.8
Le Libertin;2.3
Le Lorax;2.9
Le Mac;3.1
Le Magasin des suicides;3.1
Le Manoir hanté et les 999 fantômes;2.0
Le Mariage à trois;3.4
Le Marquis;2.5
Le Mexicain;2.4
Le Monde (presque) perdu;2.6
Le Monde de Dory;3.5
Le Monde de Fred;2.8
Le Monde secret des Emojis;1.8
Le Mytho - Just Go With It;1.8
Le Mécano de la Générale;5.0
Le Nom des gens;3.7
Le Nouveau stagiaire;2.9
Le Parfum de la dame en noir;3.5
Le Petit Nicolas;2.8
Le Petit Spirou;2.8
Le Petit locataire;3.4
Le Petit monde de Charlotte;2.9
Le Petit vampire;2.9
Le Placard;3.6
Le Plaisir de chanter;3.8
Le Plein de super;4.2
Le Premier qui l'a dit;2.4
Le Prince du Pacifique;2.8
Le Prix à payer;2.2
Le Prochain Film;3.2
Le Prof;2.5
Le Prénom;3.2
Le Père Noël;3.1
Le Raid;2.2
Le Redoutable;3.5
Le Retour de Cagliostro;3.8
Le Roi du Curling;2.6
Le Royaume des Rapiats;3.0
Le Ruisseau, le pré vert et le doux visage;3.8
Le Rôle de sa vie;3.6
Le Schpountz;2.7
Le Secret des banquises;3.0
Le Sens de la fête;3.7
Le Siffleur;2.3
Le Skylab;3.2
Le Smoking;2.9
Le Soleil au-dessus des nuages;3.4
Le Songe d'une nuit d'été;2.9
Le Sortilège du scorpion de Jade;3.7
Le Souffleur;2.3
Le Séminaire;3.0
Le Talent De Mes Amis;2.7
Le Tao de Steve;2.5
Le Temps de la kermesse est terminé;2.9
Le Terminal;3.3
Le Tigre et la neige;3.0
Le Tour du monde en 80 jours;3.1
Le Tout Nouveau Testament;3.2
Le Trésor;3.8
Le Témoin amoureux;2.4
Le Vieux qui ne voulait pas fêter son anniversaire;2.8
Le Vilain;3.5
Le Voyage d'Arlo;3.3
Le Vélo de Ghislain Lambert;2.8
Le ciel, les oiseaux et... ta mère !;3.2
Le cochon de Gaza;3.5
Le fils de l'épicier;3.6
Le fils du Français;2.6
Le goût des merveilles;3.6
Le monde de Nathan;3.1
Le nouveau Jean-Claude;2.5
Le plus beau jour de ma vie;3.2
Le rôle de ma vie;3.3
Le sens des affaires;3.1
Les 11 commandements;2.8
Les 3 p'tits cochons;2.7
Les 9 vies de Tomas Katz;3.1
Les Adversaires;2.8
Les Aiguilleurs;2.9
Les Amants passagers;3.0
Les Amateurs;3.0
Les Ambitieux;3.2
Les Araignées de la nuit;3.3
Les Aristos;1.5
Les As de la Jungle;3.1
Les Aventures de Mister Deeds;2.5
Les Aventures de Philibert, capitaine puceau;2.2
Les Aventures de Rocky et Bullwinkle;2.3
Les Aventures de Tigrou;3.8
Les Aventures de Tsatsiki;3.7
Les Barons;3.5
Les Beaux Gosses;4.3
Les Bienfaits de la colère;3.5
Les Boloss;2.6
Les Bouchers verts;3.3
Les Bronzés 3 amis pour la vie;2.7
Les Bêtises;3.0
Les Cerveaux;2.3
Les Chansons populaires;2.5
Les Chimpanzés de l'espace;2.1
Les Chèvres du Pentagone;3.1
Les Clefs de bagnole;3.2
Les Combattants;4.1
Les Conquérantes;3.3
Les Conquérants;3.3
Les Coquillettes;2.9
Les Couilles de l'éléphant;3.0
Les Croods;3.8
Les Dalton;2.7
Les Dents de la nuit;2.7
Les Derniers jours du disco;3.3
Les Deux amis;3.6
Les Deux mondes;2.7
Les Délices de Tokyo;3.9
Les Désastreuses aventures des orphelins Baudelaire;3.8
Les Emotifs anonymes;3.4
Les Enfants;3.2
Les Ex;2.2
Les Femmes de ses rêves;3.3
Les Femmes du 6e étage;3.4
Les Filles au Moyen Âge;3.7
Les Filles, personne s'en méfie;2.3
Les Flingueuses;2.3
Les Francis;3.2
Les Frères Soeur;3.1
Les Fugueurs;2.3
Les Gamins;3.2
Les Gaous;2.5
Les Gardiens de la Galaxie 2;3.4
Les Garçons et Guillaume, à table !;3.9
Les Gazelles;3.4
Les Gens en maillot de bain ne sont pas (forcément) superficiels;2.7
Les Gens honnêtes vivent en France;2.2
Les Gorilles;2.0
Les Grandes Ondes (à l'ouest);3.4
Les Grandes bouches;2.8
Les Grands frères;3.2
Les Géants;3.2
Les Hommes ! De quoi parlent-ils ?;1.9
Les Indestructibles;4.5
Les Infidèles;3.0
Les Invincibles;2.1
Les Invités de mon père;3.6
Les Joies de la famille;2.6
Les Kaïra;3.3
Les Looney Tunes passent à l'action;3.6
Les Malheurs de Sophie;3.4
Les Mauvaises herbes;3.3
Les Meilleurs amis du Monde;2.5
Les Miller, une famille en herbe;2.9
Les Mondes de Ralph;3.3
Les Moomins sur la Riviera;3.5
Les Mutants de l'espace;4.1
Les Mythos;2.4
Les Nouveaux Héros;3.8
Les Nouveaux sauvages;3.5
Les Nouvelles Aventures D'Aladin;2.8
Les Papas du dimanche;2.0
Les Parisiens;2.5
Les Parrains;3.1
Les Percutés;2.7
Les Petites fleurs rouges;3.4
Les Petits ruisseaux;3.6
Les Pieds sur terre;2.3
Les Pierrafeu à Rock Vegas;2.3
Les Pingouins de Madagascar;3.2
Les Pingouins à la rescousse;3.0
Les Portes de la gloire;3.2
Les Poupées russes;3.8
Les Premiers, les Derniers;3.8
Les Profs 2;2.3
Les Randonneurs à Saint-Tropez;2.2
Les Rayures du zèbre;3.3
Les Rebelles de la forêt;2.4
Les Reines du ring;2.5
Les Rois de la glisse;3.2
Les Rois du patin;3.3
Les Rues de Pantin;3.3
Les Saignantes;2.7
Les Saphirs;2.9
Les Saveurs du palais;3.2
Les Schtroumpfs;2.6
Les Schtroumpfs et le village perdu;2.7
Les Seigneurs;2.6
Les Sorcières de Zugarramurdi;2.9
Les Souvenirs;3.5
Les Stagiaires;2.1
Les Temps modernes;4.6
Les Triplettes de Belleville;4.5
Les Trois frères, le retour;1.8
Les Tuche;2.3
Les Tuche 2 - Le rêve américain;2.8
Les Têtes de l'emploi;2.8
Les Vacances de Mr. Bean;2.4
Les Vacances du Petit Nicolas;2.9
Les Visiteurs - La Révolution;2.0
Les Visiteurs en Amérique;3.0
Les Voyages de Gulliver;1.7
Les Winners;3.0
Les acteurs;3.3
Les drôles de poissons-chats;3.4
Les rois mages;2.8
Les soeurs fâchées;3.7
Les tribulations d'une caissière;2.3
Les âmes de papier;2.6
Let My People Go!;2.5
Leçons d'amour à l'Italienne;3.2
Liberté-Oléron;3.4
Libre et assoupi;2.7
Lila Lili;4.1
Lilo & Stitch;3.7
Liste d'attente;3.5
Listen Up Philip;3.2
Little Capone;1.2
Little Manhattan;2.5
Little Miss Sunshine;4.3
Little Nicky;2.4
Livraison à domicile;2.1
Logan Lucky;3.7
Loggerheads;3.3
Lolita malgré moi;2.9
Lolo;3.2
Looking for Eric;4.2
Lost killers;3.4
Lou ! Journal infime;2.2
Loue-moi !;2.7
Louise-Michel;3.7
Love & Friendship;3.9
Love & Sex;3.2
Love (et ses petits désastres);2.7
Love Actually;3.0
Love Gourou;1.8
Love is all you need;2.9
Love, et autres drogues;2.2
Low Cost;2.0
Lucas, fourmi malgré lui;2.9
Lucky Break;2.5
Lucky Luke;2.5
Lucky girl;1.2
Lullaby;1.9
Luna e l'altra;3.2
Luna papa;3.9
L’ Interview qui tue !;2.1
L’autre côté de l’espoir;4.3
M. Popper et ses pingouins;2.5
MIIB;3.1
Ma bonne étoile;2.3
Ma caméra et moi;3.1
Ma femme est une actrice;3.8
Ma femme... s'appelle Maurice;2.2
Ma meilleure amie, sa soeur et moi;2.8
Ma meilleure ennemie;3.1
Ma mère préfère les femmes (surtout les jeunes...);3.2
Ma petite entreprise;4.1
Ma sorcière bien-aimée;2.9
Ma super ex;2.7
Ma vie de chat;2.2
Ma vie en l'air;3.5
Ma vie n'est pas une comédie romantique;2.5
Macadam Baby;3.1
Mad Money;2.8
Madagascar;3.6
Madagascar 3, Bons Baisers D’Europe;3.0
Madame;2.8
Madame Brouette;3.5
Madame Edouard;2.7
Madame Irma;2.0
Made in Hong Kong;3.7
Made in Italy;1.9
Mademoiselle;3.8
Mafia Blues;3.6
Mafia Blues 2 - la rechute;3.0
Mafia parano;2.7
Maggie a un plan;3.2
Magic Mike;3.4
Magic baskets;3.2
Magic in the Moonlight;3.9
Mais qui a re-tué Pamela Rose ?;3.2
Mais qui a tue Tano?;3.0
Mais qui a tué Mona ?;2.1
Mais qui a tué Pamela Rose ?;2.8
Malavita;2.3
Malcolm;2.4
Mambo Italiano;2.8
Mammuth;3.7
Marche et rêve ! Les homards de l'utopie;3.1
Marguerite;4.0
Mariage chez les Bodin's;2.9
Mariage et conséquences;2.6
Mariage mixte;2.3
Mariage à l'Islandaise;2.4
Mariage à l'anglaise;3.3
Mariage à l'iranienne;2.5
Mariage à la grecque;3.1
Mariages !;2.4
Marie et les naufragés;3.4
Marie-Francine;3.1
Mariées mais pas trop;2.1
Marley & moi;2.6
Mars à table !;2.8
Marseille;2.6
Mary et Max.;4.3
Mary à tout prix;4.0
Mascarades;3.5
Match retour;2.1
Mauvais esprit;2.1
Mauvaise foi;3.5
Max;2.3
Max la menace;3.0
May In The Summer;3.2
Maybe Baby ou Comment les Anglais se reproduisent;2.8
Medianeras;2.9
Megamind;3.1
Meilleur Espoir Feminin;3.7
Meilleures ennemies;1.9
Melaza;3.3
Melinda et Melinda;2.9
Men In Black III;3.2
Mensonges et trahisons et plus si affinités...;3.6
Merci Docteur Rey;2.4
Mercredi, folle journée !;3.8
Mes Héros;2.4
Mes amis;2.3
Mes amis, mes amours;1.8
Mes chers voisins;3.6
Mes copines;1.8
Mes meilleures amies;3.8
Mes stars et moi;1.8
Mes voisins les Yamada;4.2
Mi$e à prix;3.1
Mi-temps au mitard;2.8
Mia Madre;4.3
Mickey les yeux bleus;2.9
Micmacs à tire-larigot;3.0
Microbe et Gasoil;4.0
Mille Mots;1.4
Mille millièmes, fantaisie immobilière;2.7
Mince alors !;2.5
Minuit à Paris;4.2
Miss Détective;2.8
Miss FBI : divinement armée;2.5
Miss Montigny;2.8
Miss Pettigrew;3.0
Mission 3D Spy kids 3;2.7
Mistress America;3.1
Mobile Home;3.5
Modern Love;2.2
Moi César, 10 ans 1/2, 1,39 m;3.3
Moi qui ai servi le roi d'Angleterre;3.5
Moi, Michel G, Milliardaire, Maître du monde;3.2
Moi, Moche et Méchant 3;2.8
Moi, député;3.1
Moi, moche et méchant 2;3.6
Molière;3.0
Mon Führer;2.2
Mon ange;3.3
Mon babysitter;1.5
Mon beau-père et moi;3.4
Mon beau-père et nous;2.3
Mon beau-père, mes parents et moi;3.1
Mon boss, sa fille et moi;2.2
Mon espion préféré;1.4
Mon frère est fils unique;3.5
Mon frère se marie;3.5
Mon meilleur ami;3.0
Mon petit doigt m'a dit;4.0
Mon pire cauchemar;3.0
Mon père va me tuer;3.0
Mon père, ma mère, mes frères et mes soeurs...;2.4
Mon voisin le tueur;2.7
Mon voisin le tueur 2;2.3
Monday;2.4
Monique;3.2
Monsieur Papa;2.5
Monsieur Schmidt;3.2
Monsieur Woodcock;2.1
Monster House;3.4
Monstres & Cie;4.5
Monstres Academy;3.5
Monty Python, la vie de Brian;3.7
Monty Python, sacré Graal;4.3
Moonrise Kingdom;3.7
Moonwalkers;2.9
Morceaux choisis;2.5
Mords-moi sans hésitation;1.5
Mr. & Mrs. Smith;3.0
Mr. Accident;2.5
Mumu;2.8
Musée haut, musée bas;3.1
My Best Men;2.6
My Movie Project;2.0
My Old Lady;3.5
Mystery Men;2.6
Même pas mal ! (Dodgeball);3.4
Nanny McPhee;3.4
Nanny McPhee et le Big Bang;2.5
Napoléon (et moi);1.9
Narco;3.2
Natür Therapy;3.5
Ne quittez pas !;3.3
Nebraska;3.3
Neuilly sa mère !;2.7
New York taxi;2.1
New York-Miami;4.7
Newcastle Boys;2.5
Nha fala;3.0
Ni à vendre, ni à louer;3.1
Nicostratos le pélican;3.0
Nicotina;2.7
Night Watch;2.9
Night and Day;2.9
No Ordinary Love;2.4
No Pain No Gain;3.1
No Pasaran;2.5
Nola Circus;1.8
Norbit;1.8
Norm;2.1
Nos 18 ans;2.4
Nos amis les flics;2.9
Nos femmes;2.0
Nos jours heureux;3.4
Nos pires voisins;2.2
Nos pires voisins 2;2.5
Nos plus belles vacances;1.8
Nos voisins, les hommes;3.3
Not in Tel-Aviv;2.6
Nothing;3.3
Notre univers impitoyable;2.9
Nous York;2.3
Nouveau Départ;3.0
Nouvelle chance;3.6
Number One;2.6
O'Brother;4.0
OSS 117 : Rio ne répond plus;4.1
OSS 117, Le Caire nid d'espions;3.9
Obscénité et vertu;2.5
Obvious Child;3.0
Ocean's 13;2.4
Ocean's Eleven;4.1
Ocean's Twelve;3.8
Océane;3.1
Odette Toulemonde;2.0
Office;3.1
Oh Boy;3.2
Oh My God !;2.5
Old school;2.4
Olé !;2.8
On a failli être amies;3.5
On fait comme on a dit;2.1
On l’appelle Jeeg Robot;3.3
On ne choisit pas sa famille;1.2
On va s'aimer;2.5
Oncle Boonmee (celui qui se souvient de ses vies antérieures);3.7
One dollar curry;2.6
Opération Casse-noisette;2.6
Ordinary Decent Criminal;2.6
Orgueil et préjugés;3.8
Origine contrôlée;3.1
Osmose;3.0
Osmosis Jones;3.2
Ouf;2.9
Out of Time;2.8
Où avais-je la tête ?;2.1
Où gît votre sourire enfoui ?;3.6
Où sont passés les Morgan ?;3.0
Paddington;4.0
Paddington 2;4.0
Pain, Tulipes et Comédie;3.3
Palace;3.2
Palace pour chiens;2.0
Palais Royal!;3.9
Palerme;3.1
Panique au village;4.0
Papa Ou maman 2;3.3
Papa ou maman;3.6
Par suite d'un arrêt de travail...;2.8
Parasol;2.2
Parenthèse;2.8
Parfum de printemps;3.0
Paris Manhattan;2.2
Paris of the North;2.8
Paris pieds nus;3.0
Paris à tout prix;2.8
Parle avec elle;4.7
Parlez-moi de la pluie;3.3
Partagerait bonheur...;2.8
Pas de repos pour les braves;3.3
Pas si simple;2.8
Pas son genre;3.5
Pas sur la bouche;4.2
Pas très normales activités;2.4
Passe-passe;2.8
Paterson;4.1
Patients;3.8
Pattaya;3.0
Paul;2.9
Paulette;2.6
Pauline détective;3.0
Peace, Love et plus si affinités;2.0
Peau de cochon;3.7
Pecker;3.8
Peindre ou faire l'amour;3.8
Peines d'amour perdues;3.7
Personal Affairs;3.2
Personne n'est parfait(e);2.5
Peter et Elliott le dragon;3.3
Petites Misères;3.3
Petites confidences (à ma psy);3.0
Petits meurtres à l'Anglaise;3.1
Peut-être;3.1
Ping Pong Summer;3.0
Pinocchio et Gepetto;2.6
Pirates des Caraïbes : la Fontaine de Jouvence;2.5
Pitch Perfect 2;2.5
Pixels;3.2
Pièce montée;2.8
Plan de table;1.9
Planes 2;3.2
Playboy à saisir;2.0
Ploddy - La voiture électrique mène l'enquête;2.6
Pluto Nash;2.4
Podium;3.3
Polly et moi;2.4
Poltergay;2.4
Pompoko;4.4
Pop Redemption;2.6
Populaire;3.8
Potiche;3.9
Potins mondains et amnésies partielles;2.2
Pour le meilleur et pour le rire;2.2
Pour le plaisir;2.6
Pour un garçon;3.7
Pourquoi Tu Pleures ?;3.4
Pourquoi j'ai pas mangé mon père;3.1
Pourquoi pas moi?;3.5
Première sortie;3.2
Pride;3.7
Princesse malgré elle;2.0
Prison à domicile;2.3
Problemos;3.3
Projet X;3.0
Promets-moi;2.8
Protéger et servir;1.7
Présentateur vedette : la légende de Ron Burgundy;3.5
Prêt à tout;2.2
Prête-moi ta main;3.3
Psycho Beach Party;2.6
Puccini et moi;2.3
Punch-drunk love - Ivre d'amour;4.0
Pur week-end;2.2
Père Noël Origines;3.3
Père et fille;2.8
Pédale dure;2.2
Qu'est-ce qu'on a fait au Bon Dieu?;3.8
Quai d'Orsay;3.4
Quand Chuck rencontre Larry;1.9
Quand je serai star;2.9
Quand la mer monte;4.2
Quand les anges s'en mêlent...;1.8
Quand on sera grand;3.6
Quartet;3.6
Quartier VIP;2.1
Quasimodo d'El Paris;3.2
Quatre étoiles;3.3
Queen Size Bed;2.4
Queen of Montreuil;3.8
Queenie in Love;3.2
Quelques kilos de dattes pour un enterrement;3.1
Question de coeur;2.7
Qui a envie d'être aimé ?;2.8
Qui a peur de Vagina Wolf ?;2.7
Qui c'est les plus forts ?;3.0
Qui m'aime me suive;3.0
Qui perd gagne!;2.7
RAID Dingue;2.8
RRRrrrr !!!;2.6
RTT;2.2
Raccroche !;2.6
Radin!;2.8
Radio sexo latino, le blagueur sentimental;3.1
Radiostars;3.6
Randonneurs Amateurs;2.1
Ratatouille;4.5
Raymond;1.6
Reality;2.8
Realmovie;2.4
Rebelle;3.5
Recherche bad boys désespérément;1.6
Red;2.8
Red 2;2.7
Reefer Madness: The Movie Musical;3.0
Refroidis;3.3
Reinas;2.3
Rencontres à Elizabethtown;3.2
Rendez-vous l'été prochain;2.7
Retour chez ma mère;2.9
Rhum Express;2.4
Rien que du bonheur;2.4
Rien que pour vos cheveux;3.1
Rien à déclarer;2.2
Rio 2;3.6
Rire et châtiment;3.4
Road Trip;3.1
Robert Mitchum est mort;3.1
Robin des bois, la véritable histoire;2.3
Robot and Frank;3.4
Rock Academy;3.4
Rock'N'Love;2.8
Rock'n Roll;3.3
Romaine par moins 30;3.1
Romeos;3.0
Room to rent;3.0
Rosalie Blum;3.6
Rose & noir;1.8
Roues Libres;3.5
Rouge à lèvres et arme à feu;2.9
Rubber;3.2
Rue Mandar;3.3
Rumba;4.0
Rupture pour tous;2.6
Rush Hour;3.4
Rush Hour 2;3.2
Rush Hour 3;1.8
Rushmore;3.6
Réalité;3.6
Régina !;3.1
S.O.S. Fantômes;2.6
SMS;2.4
Sa Majesté Minor;2.1
Sa mère ou moi !;2.5
Safari;2.6
Saint Amour;3.4
Saint-Jacques... La Mecque;2.5
Sale môme;2.9
Sales Gosses;2.6
Samba;3.6
San Antonio;2.3
Sans arme, ni haine, ni violence;3.0
Sans nouvelles de Dieu;2.5
Sans plus attendre;2.2
Sans queue ni tête;2.2
Santa & Cie;3.7
Sausage Party;3.5
Saved!;3.5
Saving Grace;3.0
Saya Zamurai;3.3
Scary Movie;3.3
Scary Movie 2;3.0
Scary Movie 3;3.1
Scary Movie 4;2.4
Scialla!;2.8
Scooby-Doo;2.7
Scooby-Doo 2 : les monstres se déchaînent;3.0
Scoop;3.7
Scott Pilgrim;3.4
Sea, No Sex and Sun;2.2
Secrets de famille;2.9
Self Control;2.6
Semi-Pro;2.7
Sempre vivu ! (Qui a dit que nous étions morts ?);3.0
Serial noceurs;3.2
Seuls Two;3.5
Sex Friends;2.3
Sex Tape;2.2
Sex academy;3.0
Sex and the City - le film;2.8
Sex and the City 2;2.5
Sex fans des sixties;3.4
Sexe entre amis;2.5
Sexes très opposés;2.8
Sexo por compasión;2.9
Sexy boys;2.3
Sexy movie;1.4
Shall we dance ? La Nouvelle vie de Monsieur Clark;2.2
Shanghaï kid;3.2
Shanghaï kid II;3.1
Shaolin Basket;1.9
Shaolin Soccer;3.8
Shapito Show - Partie 1;3.2
Shapito Show - Partie 2;3.2
Shaun le mouton;4.3
Shaun of the Dead;3.9
She Hate Me;2.8
Shelter;3.3
Shimkent hotel;2.6
Shopping de nuit;2.7
Shortbus;4.1
Showtime;2.7
Shrek;4.3
Shrek 2;4.1
Shrek 4, il était une fin;3.2
Shrek le troisième;3.2
Shérif fais-moi peur, le film;2.3
Si c'était lui...;2.2
Si j'étais un homme;3.2
Si seulement...;2.0
Si tu meurs, je te tue;3.8
Siam Sunset;2.8
Simon Konianski;2.8
Simone;3.8
Singularités d'une jeune fille blonde;3.7
Sisters;2.5
Situation amoureuse : C'est compliqué;3.0
Slackers;2.3
Slevin;2.9
Slumdog Millionaire;3.5
Smart People;2.3
Smiley Face;2.9
Snatch;3.7
Snow Therapy;3.5
Snow, sex & sun;2.1
Solange et les vivants;2.2
Somebody Up There Likes Me;3.0
Somers Town;3.4
Soul Kitchen;3.7
Souris City;3.1
Sous Les Jupes Des Filles;2.3
Sous le figuier;2.5
Sous le même toit;2.8
South Park, le film;3.8
Soyez sympas, rembobinez;3.8
Spanglish;2.7
Spinal Tap;3.8
Spoof movie;2.3
Spy;3.0
Spy Kids;3.4
Spy kids 2 - espions en herbe;3.7
Sri Lanka National Handball Team;3.1
Stalag 17;3.7
Starbuck;3.4
Stars 80;2.2
Stars 80, la suite;1.7
Starsky et Hutch;2.9
Steak;2.4
Stick It;2.0
Street dancers;2.6
Struck;2.6
Stuart Little;3.2
Stuart Little 2;3.5
Sugar Town;2.9
Sumô;2.8
Sunshine Cleaning;3.5
Super Héros Movie;1.9
Super Nacho;2.8
Super Papa;2.5
Super blonde;2.0
SuperGrave;3.0
Supercondriaque;2.4
Sur la piste du Marsupilami;3.8
Sur quel pied danser;3.3
Sur un air d'autoroute;2.7
Suzanne;2.8
Swamp!;3.2
Séduction en mode mineur;3.2
Séduction à l'irlandaise;3.0
Séquences et conséquences;3.4
T.I.C. (Trouble involontaire convulsif);3.2
T2 Trainspotting;3.1
Tad l'explorateur : A la recherche de la Cité perdue;3.0
Tai chi master;3.9
Tais-toi !;2.8
Tamara Drewe;4.0
Tangerine;3.6
Tanguy;3.7
Tante Hilda !;2.8
Target;1.8
Taxi 2;2.8
Taxi 3;2.8
Taxi 4;2.2
Taxi Téhéran;4.3
Team America police du monde;3.4
Ted;3.6
Ted 2;2.8
Teeth;3.2
Tel père, telle fille;2.9
Telle Mère, Telle Fille;3.0
Tellement proches;3.3
Tellement proches !;3.1
Tempête de boulettes géantes;3.4
Terrain d'entente;2.9
Terri;3.3
Thank you for smoking;3.7
The Anniversary Party;3.1
The Artist;4.1
The Big Short : le Casse du siècle;3.5
The Boyfriend - Pourquoi lui ?;1.9
The Brooklyn Brothers;3.1
The Chateau;2.9
The Color Wheel;3.1
The Dictator;2.8
The Dish;3.6
The Double;2.8
The Fighting Temptations;2.6
The Good Girl;2.9
The Grand Budapest Hotel;4.5
The Green Hornet;3.5
The Hit Girls;2.5
The Holiday;2.4
The Informant !;3.0
The Invention of Lying;3.0
The Last: Naruto the Movie;2.6
The Matador - même les tueurs ont besoin d'amis;2.8
The Meyerowitz Stories (New and Selected);3.3
The Nice Guys;3.7
The Party;3.0
The Spectacular Now;3.2
The Theory of Love;1.8
The Trip;2.9
The Voices;3.4
The Waterboy;2.7
The Way, La route ensemble;2.8
The Women;1.8
The Yes Men;3.8
Thelma, Louise et Chantal;2.5
This is not a love story;3.8
Thérapie de couples;1.5
Tickets;2.8
Tiens-toi droite;2.2
Time's up!;3.3
Tip Top;3.1
Titeuf, le film (3D);3.4
To Rome with Love;2.5
Toi et moi... et Duprée;1.9
Tokyo Fiancée;3.1
Toni Erdmann;4.3
Tonnerre sous les Tropiques;3.6
Top Cops;1.7
Top chronos;2.3
Torpédo;3.1
Torremolinos 73;3.8
Torrente, el brazo tonto de la ley;3.0
Tortilla Soup;2.9
Totally Spies ! Le film;2.7
Toto qui vécut deux fois;3.6
Touristes;3.4
Tournage dans un jardin anglais;4.0
Tournée;4.4
Tous en scène;3.6
Tous les espoirs sont permis;2.1
Tous les soleils;2.9
Tout ce qui brille;3.8
Tout le plaisir est pour moi;2.7
Tout mais pas ça !;3.2
Tout peut arriver;2.9
Tout pour l'oseille;2.7
Tout pour plaire;3.4
Tout pour être heureux;3.8
Tout... sauf en famille;2.2
Toute l'histoire de mes échecs sexuels;3.3
Toute première fois;3.1
Toutes les filles sont folles;3.0
Toy Boy;2.6
Toy Story 2;4.3
Toy Story 3;4.7
Trafic d'influence;2.5
Trafico;3.2
Transamerica;3.6
Travaux;4.2
Treize à la douzaine;2.4
Tricheuse;1.9
Triple alliance;2.7
Trois petites filles;2.9
Trois soeurs;3.1
Trop belle !;2.6
Trop loin pour toi;3.3
Trop, c'est trop !;2.3
Trésor;2.2
Tu dors Nicole;3.7
Tu honoreras ta mère et ta mère;2.9
Tu peux garder un secret ?;1.6
Tu seras un homme;2.8
Tu vas rire mais je te quitte;2.9
Tu veux ou tu veux pas;2.0
Tucker & Dale fightent le mal;3.7
Tulpan;3.8
Turbo;3.2
Turf;1.9
Turn me on;2.7
Two Hundred Thousand Dirty;2.6
Télé Gaucho;2.8
Tôt ou tard;2.9
Umrika;3.3
Un + une;3.4
Un Aller simple;2.7
Un Beau Soleil Intérieur;3.5
Un Bonheur n'arrive jamais seul;2.4
Un Couple épatant;4.1
Un De trop;3.3
Un Grand Mariage;1.4
Un Homme à femmes;2.4
Un Jour mon Prince;2.5
Un Mariage trop parfait;2.4
Un Noël de folie !;2.0
Un Petit Boulot;3.5
Un Plan Parfait;2.6
Un Profil Pour Deux;3.0
Un Rêve tchèque;3.7
Un Soupçon de rose;2.7
Un Taxi pour trois;3.9
Un Vent de folie;2.8
Un Village presque parfait;2.1
Un Vrai bonheur;2.6
Un amour à New York;3.2
Un baiser s'il vous plaît;3.9
Un chic type;2.9
Un crime au paradis;2.9
Un enfant pas comme les autres;2.6
Un fil à la patte;3.4
Un homme à la hauteur;2.8
Un jour mon père viendra;2.5
Un jour, peut-être;3.0
Un mari de trop;2.3
Un mari idéal;3.3
Un mariage de rêve;3.4
Un mois en Thaïlande;3.2
Un moment d'égarement;2.6
Un monstre à Paris;3.4
Un pas en avant - les dessous de la corruption;2.5
Un petit jeu sans conséquence;3.0
Un peu, beaucoup, aveuglément;3.4
Un prof pas comme les autres;2.4
Un ticket pour l'espace;3.3
Un été à Osage County;2.9
Une Affaire de coeur;3.3
Une Chance pour Miguel;3.6
Une Famille à Louer;2.6
Une Journée à New York;2.3
Une belle fin;3.7
Une chanson pour ma mère;1.9
Une famille très moderne;1.9
Une fiancée pas comme les autres;3.1
Une grande année;1.8
Une heure de tranquillité;2.9
Une nuit à New York;3.1
Une petite zone de turbulences;2.9
Une pour toutes;3.0
Une pure affaire;3.3
Une semaine et un jour;3.4
Une semaine sur deux (et la moitié des vacances scolaires);2.4
Une vie à deux;2.5
Une éducation norvégienne;2.8
Ushpizin;2.9
