Films;Note Globale
Bienvenue à Cedar Rapids;2.0
Bienvenue à Collinwood;3.0
Bienvenue à Marly-Gomont;3.2
Bienvenue à Suburbicon;3.1
Bienvenue à Zombieland;3.6
Bienvenue à bord;1.7
Bienvenus !;3.5
Big Bad Wolves;2.4
Big City;2.2
Big Daddy;2.7
Big Eyes;3.2
Big Mamma;2.7
Big Mamma 2;1.3
Birdman;4.0
Bis;3.2
Black;2.6
Black Dynamite;2.8
Black Sheep;3.1
Black/white;2.5
Blackout Total;2.3
Blanche;2.5
Blanche Neige;2.4
Blanche Neige, la Suite;1.5
Blanche Nuit;2.5
Bliss;2.9
Blonde et Brune;2.9
Bob l'éponge - Le film;3.3
Bob l'éponge - Le film : Un héros sort de l'eau;2.8
Bon Voyage;3.7
Bon plan;2.7
Bon rétablissement !;3.0
Bon à Tirer (B.A.T.);2.9
Bonne pomme;1.9
Bons à rien;2.8
Borat, leçons culturelles sur l'Amérique au profit glorieuse nation Kazakhstan;3.9
Born Romantic;3.2
Boudu;2.5
Boule & Bill;1.5
Boule & Bill 2;2.2
Boulevard de la mort - un film Grindhouse;3.4
Bouquet final;2.8
Bowfinger, roi d'Hollywood;3.1
Bowling;2.3
Boy;3.6
Boy Culture;3.0
Boys Like Us;2.8
Boys and Girls;2.4
Braquage à l'ancienne;3.0
Braqueurs amateurs;3.1
Breakfast of Champions;2.5
Breakfast on Pluto;3.4
Brendan & Trudy;3.0
Brice 3;2.6
Brice de Nice;2.8
Bridget Jones : l'âge de raison;2.6
Bridget Jones Baby;3.4
Broken English;2.6
Broken Flowers;4.1
Bronx à Bel Air;2.9
Bruce tout-puissant;2.8
Brèves de comptoir;2.5
Brüno;3.6
Bubba Ho-Tep;3.8
Burn After Reading;3.7
Bye Bye Blondie;2.2
Bye Bye Love;3.4
Bâtards;3.0
Bébé mode d'emploi;2.3
Béliers;4.1
Bêtes de scène;3.5
C'est la fin;2.9
C'est le bouquet !;3.3
C'est quoi cette famille?!;2.8
Ca ira mieux demain;3.7
Ca se soigne?;2.0
Ca$h;2.5
Cabaret Paradis;2.6
Cadavres à la Pelle;2.8
Café Society;4.1
Cahier intime;2.2
Calendar Girls;3.1
Call me Agostino;2.2
Camping;2.3
Camping 2;2.6
Camping 3;2.5
Camping car;2.3
Camping à la ferme;3.1
Canailles Connection;2.9
Capitaine Superslip;2.6
Caprice;3.5
Carmina !;3.1
Cars;4.0
Casablanca Driver;3.1
Case départ;3.0
Casses en tous genres;2.7
Cassos;2.7
Casting Sauvage;2.9
Cause toujours!;3.3
Ce Qui Nous Lie;3.2
Ce que pensent les hommes;1.9
Ce que veulent les femmes;3.7
Ce qui vous attend si vous attendez un enfant;1.6
Ce soir, je dors chez toi;2.3
Cecil B. Demented;3.4
Celebrity;4.1
Celle que j'aime;1.9
Cendrillon & le prince (pas trop) charmant;1.9
Certifiée Halal;2.0
Ces messieurs dames;4.7
Chacun sa vie;2.1
Chacun son cinéma;3.9
Chair de Poule - Le film;2.9
Changement d'adresse;4.0
Chansons du deuxième étage;3.7
Chantons sous la pluie;4.8
Chaque jour que Dieu fait;3.3
Charlie Mortdecai;2.4
Charlie et la chocolaterie;4.0
Charlie's Angels - les anges se déchaînent;3.4
Charmant garçon;3.0
Chassé-croisé à Manhattan;1.5
Cheba Louisa;2.4
Cherche fiancé tous frais payés;1.7
Chercher le garçon;3.5
Cherchez Hortense;3.5
Cherchez la femme;3.4
Chez Gino;2.5
Chez nous c'est trois !;2.8
Chic!;3.0
Chicago;3.7
Chiens des neiges;2.8
Children of the Revolution;3.0
Chili con carne;2.3
Chouchou;3.3
Chouquette;2.4
Chroniques d'une cour de récré;3.5
Chroniques indiennes;3.2
Chroniques sexuelles d'une famille d'aujourd'hui;2.2
Chéri;3.5
Cigarettes et chocolat chaud;3.6
Cigognes et compagnie;3.3
Cinq minutes de détente;2.0
Cinéman;2.0
Citoyen d'honneur;3.8
City Island;3.3
Clara et moi;3.4
Clerks II;2.7
Click : Télécommandez votre vie;2.1
Coco;1.8
Cody Banks : agent secret;2.7
Coexister;3.3
Collège attitude;2.1
Colossal;4.0
Comme Un Avion;4.0
Comme chiens et chats;2.8
Comme des bêtes;3.5
Comme des frères;3.5
Comme les autres;3.0
Comme t'y es belle!;3.0
Comme tout le monde;2.2
Comme un Chef;2.0
Comment c’est loin;3.4
Comment j'ai rencontré mon père;3.3
Comment savoir;2.9
Comment se faire larguer en 10 leçons;2.6
Comment tuer le chien de son voisin;3.3
Comment tuer son Boss ?;2.6
Comment tuer son boss 2;2.3
Company Man;2.6
Computer Chess;3.2
Confession d'un dragueur;2.2
Confessions d'un homme dangereux;3.8
Confessions d'une accro du shopping;2.5
Confetti;1.7
Connasse, Princesse des coeurs;3.3
Connie et Carla;3.5
Cookie's Fortune;3.8
Copains pour toujours 2;1.0
Coup d'éclat;2.5
Coup de foudre à Bollywood;3.1
Coup de foudre à Manhattan;2.6
Coup de foudre à Notting Hill;3.8
Coup de foudre à Rhode Island;2.7
Coup de peigne;2.7
Couple de stars;3.0
Cours toujours Dennis;2.6
Coursier;2.6
Cowboy;3.5
Crazy Amy;3.1
Crazy Night;3.1
Crazy kung-fu;4.1
Crazy, Stupid, Love;3.0
Crocodile Dundee 3;2.1
Crossroads;2.6
Crush le club des frustrées;3.2
Crustacés et Coquillages;3.9
Cupcakes;2.7
Cursed;2.2
Cyprien;2.1
Cyrus;3.1
Célibataire, mode d'emploi;2.4
Célibataires;1.3
Daddy Cool;2.4
Damsels in Distress;3.1
Dance Battle - Honey 2;1.8
Dance Movie;1.3
Dancing Queens;2.8
Dans l'ombre de Mary - La promesse de Walt Disney;3.5
Dans la peau de John Malkovich;3.9
Dans la tête de Charles Swan III;2.3
Dans la vie;3.9
Dans ses rêves;1.1
Dark Shadows;3.5
Date limite;3.1
De Douces Paroles;2.8
De l'autre côté du lit;2.4
De l'autre côté du périph;2.9
De plus belle;3.3
De vrais mensonges;3.0
Deadpool;3.0
Dear Wendy;2.4
Dear White People;3.5
Deep End;4.9
Demain Tout Commence;3.2
Demande à la poussière;2.4
Demandez la permission aux enfants !;2.5
Demi-soeur;1.3
Demi-tarif;4.0
Dernier étage, gauche, gauche;2.7
Des Lendemains qui chantent;3.1
Des Morceaux de Moi;2.3
Des gens qui s'embrassent;1.9
Des nouvelles de la planète Mars;3.4
Des saumons dans le désert;2.2
Deux Rémi, deux;3.4
Deux en un;4.1
Deuxième vie;2.7
Dialogue avec mon jardinier;2.8
Diane a les épaules;3.5
Didine;3.7
Dieu, ma mère et moi;3.0
DieuMerci !;3.3
Dikkenek;2.5
Dirty Papy;1.6
Disco;2.0
Discount;3.6
Diversion;2.7
Divine mais dangereuse;2.8
Divorces;2.2
Divorcing Jack;3.5
Dix hivers à Venise;2.9
Djib;2.8
Do Not Disturb;2.0
Docteur T et les femmes;3.5
Doggy Bag;2.2
Dogma;2.7
Don Jon;2.8
Donnant, Donnant;1.5
Donne-moi ta main;2.1
Dope;3.4
Dorian Blues;2.2
Dr. Dolittle 2;2.7
Drôles D'oiseaux;2.9
Du Jour au Lendemain;3.1
Du Vent dans mes mollets;3.2
Dumb & Dumber De;2.9
Dumb & dumberer : quand Harry rencontra Lloyd;2.1
Duo d'escrocs;3.0
Duos d'un jour;2.4
Duplicity;2.7
Débarquement immédiat;2.4
Décalage horaire;3.4
Délire Express;3.2
Dépression et des Potes;2.1
Désaccord parfait;2.8
Détrompez-vous;2.1
Echange standard;2.1
Ecole paternelle;2.9
Edy;2.8
Eh mec, elle est où ma caisse ?;2.6
Elfe;2.6
Elle critique tout !;2.2
Elle est trop bien;2.6
Elle l'adore;3.7
Elle s'appelle Ruby;2.7
Elvis & Nixon;3.4
Embrasse-moi !;2.6
Embrassez qui vous voudrez;4.0
Emmenez-moi;2.8
En Vacances;2.5
En bonne compagnie;3.4
En cloque, mode d'emploi;3.0
En direct sur Ed TV;3.3
En pays cannibale;1.9
En route !;3.2
En toute complicité;3.2
En toute humilité - The Humbling;2.4
Encore Heureux;3.3
Endiablé;3.2
Enfermés dehors;3.9
Enfin veuve;1.9
Ensemble c'est trop;2.1
Ensemble, nous allons vivre une très, très grande histoire d'amour...;3.0
Entourage;2.2
Envoyés très spéciaux;3.0
Epouse-moi;2.7
Epouse-moi mon pote;2.2
Eros Thérapie;3.8
Erreur de la banque en votre faveur;3.1
Escapade à New York;2.4
Escrocs mais pas trop;3.4
Espace détente;2.9
Esperanza et ses saints;3.1
Espion et demi;2.1
Espion mais pas trop !;2.2
Esprit d'équipe;1.9
Esprit de famille;3.1
Essaye-moi;3.3
Et (beaucoup) plus si affinités;3.0
Et l'homme créa la femme;2.4
Et si c'était vrai...;2.5
Et si on vivait tous ensemble?;2.8
Et soudain, tout le monde me manque;2.5
Et toi, t'es sur qui ?;3.8
Evan tout-puissant;1.5
Everybody Wants Some !!;3.4
Everybody famous;3.1
Evolution;3.0
Eyjafjallajökull;2.5
F.B.I. Fausses Blondes Infiltrées;2.2
Fair play;2.7
Fais-moi des vacances;3.5
Fais-moi plaisir !;3.4
Fais-moi rêver;2.3
Fame;2.0
Famille à louer;2.2
Familles à vendre;2.7
Family Man;2.9
Fanfan La Tulipe;3.3
Fantastic Mr. Fox;4.3
Fantastic birthday;3.3
Fashion Maman;2.2
Fashion victime;2.6
Fast Food, Fast Women;3.8
Fastlife;2.7
Fat Albert;2.1
